month;bridgeId;bridgeName;totalUSD;SA_Tier
2024-04;23;Polygon zkEVM Bridge;57466597,68;SA32
2024-04;41;Wan Bridge;43241678,24;SA22
2024-04;55;Fuse Bridge;28595718,78;SA22
2024-04;61;XSwap;16183004,39;SA11
2024-04;96;Chainlink CCIP;15209850,79;SA22
2024-04;45;Shimmer Bridge;15203616,56;SA22
2024-04;48;Rootstock Powpeg Bridge;9266917,022;SA22
2024-05;51;Circle CCTP;2205497135;SA11
2024-05;19;Across;2027992934;SA33
2024-05;58;Orbiter Finance;1331937793;SA11
2024-05;2;Arbitrum Bridge;1170908440;SA33
2024-05;20;deBridge;938255217,9;SA22
2024-05;12;Stargate;813389397,7;SA22
2024-05;9999;zkBridge;727063915,1;SA32
2024-05;26;ZKsync Era Bridge;581505653,1;SA32
2024-05;59;Connext;576910448,7;SA33
2024-05;4;Optimism Gateway;546677176,2;SA33
2024-05;10;Celer cBridge;533214172,9;SA22
2024-05;24;IBC;527577447,4;SA31
2024-05;11;Synapse;524324794,2;SA22
2024-05;1;Polygon PoS Bridge;426424105,1;SA22
2024-05;28;Meson;421471941,4;SA11
2024-05;29;Base Bridge;351340892,6;SA33
2024-05;27;Symbiosis;295187902,3;SA11
2024-05;13;Hop;284130143,9;SA33
2024-05;35;CrossCurve;282898147,5;SA22
2024-05;39;rhino.fi;236388006,8;SA11
2024-05;32;Squid (Powered by Axelar);228988713,3;SA21
2024-05;60;Allbridge Core;212075747,9;SA22
2024-05;16;Gnosis Bridge;162729566,7;SA22
2024-05;46;yBridge by xSync Network;161643652,2;SA22
2024-05;50;Mode Network;89319093,08;SA33
2024-05;54;Nitro (by Router Protocol);84935803,14;SA22
2024-05;49;Garden;82953051,54;SA22
2024-05;30;Mantle Bridge;58596308,36;SA33
2024-05;44;Interport Finance;57113775,08;SA11
2024-05;41;Wan Bridge;49292367,79;SA22
2024-05;3;Avalanche Bridge;47125642,68;SA12
2024-05;96;Chainlink CCIP;41836193,58;SA22
2024-05;37;Manta Pacific Bridge;37991485,85;SA33
2024-05;23;Polygon zkEVM Bridge;16207507,14;SA32
2024-05;61;XSwap;14308924,97;SA11
2024-06;19;Across;2128315471;SA33
2024-06;51;Circle CCTP;1832825738;SA11
2024-06;12;Stargate;1599100041;SA22
2024-06;24;IBC;1065419668;SA31
2024-06;58;Orbiter Finance;962101901,3;SA11
2024-06;2;Arbitrum Bridge;862160491,7;SA33
2024-06;20;deBridge;748073022,7;SA22
2024-06;11;Synapse;723086425,7;SA22
2024-06;9999;zkBridge;623832011,4;SA32
2024-06;59;Connext;615902751,4;SA33
2024-06;10;Celer cBridge;549318714,3;SA22
2024-06;4;Optimism Gateway;445017375,3;SA33
2024-06;1;Polygon PoS Bridge;357613195,4;SA22
2024-06;27;Symbiosis;327690044,9;SA11
2024-06;26;ZKsync Era Bridge;321161311,9;SA32
2024-06;39;rhino.fi;275374963;SA11
2024-06;13;Hop;257744356,9;SA33
2024-06;60;Allbridge Core;169416848,8;SA22
2024-06;32;Squid (Powered by Axelar);168691489,9;SA21
2024-06;35;CrossCurve;166788655,2;SA22
2024-06;46;yBridge by xSync Network;134581032,9;SA22
2024-06;28;Meson;128180273,7;SA11
2024-06;29;Base Bridge;125643668,4;SA33
2024-06;16;Gnosis Bridge;121329787,7;SA22
2024-06;54;Nitro (by Router Protocol);108651644,4;SA22
2024-06;96;Chainlink CCIP;71831995,47;SA22
2024-06;23;Polygon zkEVM Bridge;66031776,55;SA32
2024-06;41;Wan Bridge;58885473,03;SA22
2024-06;37;Manta Pacific Bridge;53858516,38;SA33
2024-06;50;Mode Network;50087101,42;SA33
2024-06;3;Avalanche Bridge;42418467,04;SA12
2024-06;61;XSwap;42329983,32;SA11
2024-06;30;Mantle Bridge;28598656,06;SA33
2024-06;44;Interport Finance;22835341,6;SA11
2024-06;49;Garden;9013502,856;SA22
2024-07;51;Circle CCTP;2240034819;SA11
2024-07;12;Stargate;2239610786;SA22
2024-07;19;Across;1603324760;SA33
2024-07;24;IBC;1515336959;SA31
2024-07;2;Arbitrum Bridge;852875767,5;SA33
2024-07;11;Synapse;828784756,4;SA22
2024-07;20;deBridge;724773895,9;SA22
2024-07;9999;zkBridge;628813699,8;SA32
2024-07;58;Orbiter Finance;592888286;SA11
2024-07;1;Polygon PoS Bridge;382937752,9;SA22
2024-07;39;rhino.fi;344673621,2;SA11
2024-07;4;Optimism Gateway;340238604,1;SA33
2024-07;10;Celer cBridge;310481153,6;SA22
2024-07;54;Nitro (by Router Protocol);303033178,6;SA22
2024-07;30;Mantle Bridge;250638413,9;SA33
2024-07;32;Squid (Powered by Axelar);196211446,7;SA21
2024-07;16;Gnosis Bridge;187291208,2;SA22
2024-07;13;Hop;183769085,6;SA33
2024-07;46;yBridge by xSync Network;172311402,4;SA22
2024-07;27;Symbiosis;165769437,4;SA11
2024-07;59;Connext;164224999,5;SA33
2024-07;15;Core Bitcoin Bridge;138963056;SA22
2024-07;60;Allbridge Core;129455843,3;SA22
2024-07;28;Meson;128684392,6;SA11
2024-07;29;Base Bridge;91423903,85;SA33
2024-07;96;Chainlink CCIP;62750464,01;SA22
2024-07;3;Avalanche Bridge;53145460,04;SA12
2024-07;23;Polygon zkEVM Bridge;49037558,3;SA32
2024-07;50;Mode Network;28246587,76;SA33
2024-07;37;Manta Pacific Bridge;25255478,94;SA33
2024-07;61;XSwap;24321548,26;SA11
2024-07;41;Wan Bridge;23952985,58;SA22
2024-07;44;Interport Finance;11078877,02;SA11
2024-07;34;Satellite (Powered by Axelar);8279262,226;SA21
2024-07;35;CrossCurve;7927444,315;SA22
2024-08;12;Stargate;2610613313;SA22
2024-08;51;Circle CCTP;2271100043;SA11
2024-08;24;IBC;1714927783;SA31
2024-08;19;Across;1478791941;SA33
2024-08;2;Arbitrum Bridge;974445540,1;SA33
2024-08;58;Orbiter Finance;763688674,2;SA11
2024-08;20;deBridge;648284342,9;SA22
2024-08;9999;zkBridge;619802026,2;SA32
2024-08;46;yBridge by xSync Network;507886397,1;SA22
2024-08;11;Synapse;428954333,3;SA22
